agpID,latin_text
AGP-EDR163604,"Curiosus Vitalio
S A B"
AGP-EDR175856,Cera
AGP-EDR163404,Balai
AGP-EDR166073,IIIIII
AGP-EDR193621,Eranus
AGP-EDR180461,IIIIIII    IIIIIIIII    IIIIIIIIIII
AGP-EDR168480,"Ti comnis
olithus
rectus
"
AGP-EDR175430,"Augusto
feliciter"
AGP-EDR149138,Bucinus
AGP-EDR176979,SIR
AGP-EDR177557,IIII  IIII  IIII  IIIII  III  IIII  III  IIII  IIIII
AGP-EDR151943,Ve
AGP-EDR179029,AXBVCTDSHRNQGPHOINKIML
AGP-EDR180332,Tuto
AGP-EDR193702,"Secundus 
Primus"
AGP-EDR180553,AMPVR
AGP-EDR146122,futui
AGP-EDR149281,Prima cum suo hac
AGP-EDR189768,Ampliatus
AGP-EDR159781,arma vir
AGP-EDR150780,Vita amo te
AGP-EDR192946,"Sabinus
"
AGP-EDR192935,Ruibundus amnis
AGP-EDR160125,Aeneadum
AGP-EDR071661,Barbara barbaribus barbarant barbara barbis
AGP-EDR193753,Tu qui die digitos contrudis M N
AGP-EDR149983,Syneros
AGP-EDR092812,Vicimus
AGP-EDR074682,Phoenix felix et tu
AGP-EDR074234,Gemma velim fieri hora non
AGP-EDR127404,LXIIII
AGP-EDR124970,Caniu
AGP-EDR145431,"Felix
bene futues"
AGP-EDR148421,"YN
RA
Y"
AGP-EDR128553,"C t C F
C C"
AGP-EDR128551,VII
AGP-EDR127833,Nauplius
AGP-EDR128051,COLA
AGP-EDR146125,Phoebus pedico
AGP-EDR128564,bono ut sit
AGP-EDR148526,Asbestus hic
AGP-EDR148525,Victorie
AGP-EDR148820,"Aelius Magnus Plotillae suae
rogo domina  salutem"
AGP-EDR151712,Memor
AGP-EDR151710,Restituta tuis choreis
AGP-EDR166090,"VIII 
"
AGP-EDR159559,"cupidi multo magis 
cupimus"
AGP-EDR160323,Communem
AGP-EDR127424,ABCDEFGHIKLMNOP
AGP-EDR160165,Rusticus
AGP-EDR151780,"Severus
Severus"
AGP-EDR127430,X
AGP-EDR166075,IIIIIIIIIIIIIIIIIIII
AGP-EDR166094,"XVI
  XXI"
AGP-EDR151728,Firmus
AGP-EDR176982,SRQ
AGP-EDR167875,"Ro
Ro"
AGP-EDR177559,XXX
AGP-EDR167631,ABD
AGP-EDR167406,Hermulus
AGP-EDR167443,ABCDEFGHIKLMNOPQRSTVX
AGP-EDR128058,"FV
L"
AGP-EDR127366,Virilio
AGP-EDR128055,CHA
AGP-EDR127416,"D
D
X X"
AGP-EDR168752,Ionicus
AGP-EDR175186,"X
C
I
X"
AGP-EDR175729,"Anaristus
Phoebo
salutem"
AGP-EDR175731,"Viabianus
XIII"
AGP-EDR128060,ICYLI
AGP-EDR180719,IOSOAS
